Vera Albreht
Gabriela Babnik
Vladimir Bartol
Aleš Berger
Cvetka Bevc
France Bevk
Berta Bojetu
Ivan Cankar
Aleš Čar
Dušan Čater
Tone Čufar
Jurij Dalmatin
Milan Dekleva
Emil Filipčič
Fran Saleški Finžgar
Jasmin B. Frelih
Nejc Gazvoda
Iztok Geister
Tadej Golob
Branko Gradišnik
Andrej Hieng
Zoran Hočevar
Jurij Hudolin
Anton Ingolič
Janez Jalen
Drago Jančar
Miran Jarc
Mirko Javornik
Jože Javoršek
Simon Jenko
Josip Jurčič
Alma Karlin
Irena Kazazić
Janko Kersnik
Edvard Kocbek
Ciril Kosmač
Lojze Kovačič
Kajetan Kovič
Lado Kralj
Miško Kranjec
Maruša Krese
Julius Kugy
Mojca Kumerdej
Zofka Kveder
Lovro Kuhar
Feri Lainšček
Vesna Lemaić
Fran Levstik
Anton Tomaž Linhart
Florjan Lipuš
Bogomir Magajna
Svetlana Makarovič
Vitan Mal
Katarina Marinčič
Neža Maurer
Miha Mazzini
Mira Mihelič
Miloš Mikeln
Vinko Möderndorfer
Lela B. Njatin
Josip Osti
Boris Pahor
Vid Pečjak
Janko Prunk
Alojz Rebula
Miha Remec
Josip Ribičič
Marjan Rožanc
Franček Rudolf
Dimitrij Rupel
Tomaž Šalamun
Dušan Šarotar
Rudi Šeligo
Igor Škamperle
Andrej E. Skubic
Dominik Smole
Jože Snoj
Janez J. Švajncer
Ivan Tavčar
Zora Tavčar
Igor Torkar
Janez Trdina
Primož Trubar
Josipina Turnograjska
Josip Vandot
Milan Vidmar
Valentin Vodnik
Goran Vojnović
Prežihov Voranc
Vlado Žabot
Dane Zajc
Zdenka Žebre
Irena Žerjal
Ciril Zlobec
Vitomil Zupan
Katka Zupančič
Oton Župančič
